INFO:tensorflow:loss = 4.160765, step = 26800 (31.640 sec)
INFO:tensorflow:loss = 3.1696436, step = 26900 (31.749 sec)
INFO:tensorflow:loss = 3.358153, step = 27000 (86.728 sec)
INFO:tensorflow:loss = 4.091711, step = 27100 (31.767 sec)
INFO:tensorflow:loss = 4.42585, step = 27200 (31.579 sec)
INFO:tensorflow:loss = 4.038562, step = 27300 (31.591 sec)
INFO:tensorflow:loss = 4.488605, step = 27400 (31.670 sec)
INFO:tensorflow:loss = 3.685913, step = 27500 (31.502 sec)
INFO:tensorflow:loss = 4.293009, step = 27600 (31.644 sec)
INFO:tensorflow:loss = 4.2909746, step = 27700 (31.587 sec)
INFO:tensorflow:loss = 4.099718, step = 27800 (31.582 sec)
INFO:tensorflow:loss = 3.9333465, step = 27900 (31.658 sec)
INFO:tensorflow:loss = 4.3012075, step = 28000 (35.861 sec)
INFO:tensorflow:loss = 3.743459, step = 28100 (31.566 sec)
INFO:tensorflow:loss = 4.9008803, step = 28200 (31.844 sec)
INFO:tensorflow:loss = 4.123352, step = 28300 (31.647 sec)
INFO:tensorflow:loss = 4.0914736, step = 28400 (31.583 sec)
INFO:tensorflow:loss = 3.3175037, step = 28500 (31.766 sec)
INFO:tensorflow:loss = 3.5583794, step = 28600 (31.468 sec)
INFO:tensorflow:loss = 3.1541648, step = 28700 (31.493 sec)
INFO:tensorflow:loss = 3.5025165, step = 28800 (31.461 sec)
INFO:tensorflow:loss = 3.387452, step = 28900 (31.667 sec)
INFO:tensorflow:loss = 3.055884, step = 29000 (86.108 sec)
INFO:tensorflow:loss = 5.0701423, step = 29100 (31.423 sec)
INFO:tensorflow:loss = 4.3804083, step = 29200 (31.524 sec)
INFO:tensorflow:loss = 3.618221, step = 29300 (31.669 sec)
INFO:tensorflow:loss = 3.754216, step = 29400 (31.672 sec)
INFO:tensorflow:loss = 4.281871, step = 29500 (31.758 sec)
INFO:tensorflow:loss = 4.158269, step = 29600 (31.601 sec)
INFO:tensorflow:loss = 3.7906063, step = 29700 (31.626 sec)
INFO:tensorflow:loss = 4.9556613, step = 29800 (31.669 sec)
INFO:tensorflow:loss = 4.436402, step = 29900 (31.579 sec)
INFO:tensorflow:loss = 4.1649437, step = 30000 (35.722 sec)
INFO:tensorflow:loss = 3.7829845, step = 30100 (31.568 sec)
INFO:tensorflow:loss = 4.4020267, step = 30200 (31.758 sec)
INFO:tensorflow:loss = 4.5365205, step = 30300 (31.594 sec)
INFO:tensorflow:loss = 4.13085, step = 30400 (31.690 sec)
INFO:tensorflow:loss = 4.6973734, step = 30500 (31.807 sec)
INFO:tensorflow:loss = 3.4268548, step = 30600 (31.591 sec)
INFO:tensorflow:loss = 4.286194, step = 30700 (31.638 sec)
INFO:tensorflow:loss = 4.4726996, step = 30800 (31.591 sec)
INFO:tensorflow:loss = 2.1327202, step = 30900 (31.683 sec)
INFO:tensorflow:loss = 4.4353514, step = 31000 (86.608 sec)
INFO:tensorflow:loss = 4.5668216, step = 31100 (31.590 sec)
INFO:tensorflow:loss = 4.1506214, step = 31200 (31.517 sec)
INFO:tensorflow:loss = 4.735845, step = 31300 (31.595 sec)
INFO:tensorflow:loss = 3.9225163, step = 31400 (31.490 sec)
INFO:tensorflow:loss = 3.795582, step = 31500 (31.637 sec)
INFO:tensorflow:loss = 4.2369595, step = 31600 (31.641 sec)
INFO:tensorflow:loss = 3.6955557, step = 31700 (31.549 sec)
INFO:tensorflow:loss = 4.3293624, step = 31800 (31.692 sec)
INFO:tensorflow:loss = 4.7633767, step = 31900 (31.630 sec)
INFO:tensorflow:loss = 3.5588794, step = 32000 (35.846 sec)
INFO:tensorflow:loss = 4.2662997, step = 32100 (31.517 sec)
INFO:tensorflow:loss = 4.317885, step = 32200 (31.848 sec)
INFO:tensorflow:loss = 4.249987, step = 32300 (31.621 sec)
INFO:tensorflow:loss = 3.6985033, step = 32400 (31.653 sec)
INFO:tensorflow:loss = 3.985907, step = 32500 (31.651 sec)
INFO:tensorflow:loss = 4.3349185, step = 32600 (31.756 sec)
INFO:tensorflow:loss = 3.895757, step = 32700 (31.728 sec)
INFO:tensorflow:loss = 4.1795497, step = 32800 (31.606 sec)
INFO:tensorflow:loss = 4.140269, step = 32900 (31.661 sec)
INFO:tensorflow:loss = 4.2772965, step = 33000 (87.224 sec)
INFO:tensorflow:loss = 5.2955356, step = 33100 (31.390 sec)
INFO:tensorflow:loss = 4.3823214, step = 33200 (31.423 sec)
INFO:tensorflow:loss = 4.79034, step = 33300 (31.585 sec)
INFO:tensorflow:loss = 3.8738704, step = 33400 (31.508 sec)
INFO:tensorflow:loss = 3.5586455, step = 33500 (31.676 sec)
INFO:tensorflow:loss = 4.892459, step = 33600 (31.589 sec)
INFO:tensorflow:loss = 4.2582846, step = 33700 (31.655 sec)
INFO:tensorflow:loss = 4.171275, step = 33800 (31.686 sec)
INFO:tensorflow:loss = 4.4909687, step = 33900 (31.661 sec)
INFO:tensorflow:loss = 4.3538256, step = 34000 (35.897 sec)
INFO:tensorflow:loss = 3.8268476, step = 34100 (31.536 sec)
INFO:tensorflow:loss = 4.226986, step = 34200 (31.823 sec)
INFO:tensorflow:loss = 4.944498, step = 34300 (31.558 sec)
INFO:tensorflow:loss = 3.697155, step = 34400 (31.663 sec)
INFO:tensorflow:loss = 3.7076728, step = 34500 (31.818 sec)
INFO:tensorflow:loss = 3.696106, step = 34600 (31.659 sec)
INFO:tensorflow:loss = 2.9820898, step = 34700 (31.558 sec)
